"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"433791",466.302186979679,2.5595317385254,0.264039089170381,10.1773251968311,2.50348219390805e-24,1.0054934087429e-21
"432442",445.11008413149,-2.90371870796834,0.308210148964687,-10.1349743863866,3.8647484449713e-24,1.52592059365435e-21
"12491",5304.42890535979,-3.04819308297849,0.34389619453108,-10.0404590967998,1.01202034973398e-23,3.92916900784216e-21
"272382",348.85592472374,-2.85824243051853,0.297272559059473,-10.0057919881701,1.43736922720279e-23,5.48910100781787e-21
"22034",809.63012753089,2.01158754604293,0.205692881032641,9.97043832522325,2.05320688598602e-23,7.71442813049103e-21
"67547",2381.51036387391,1.78877891144075,0.182432872273828,9.96560617878863,2.15554871113778e-23,7.97039797237374e-21
"207728",883.493615597233,-1.97175346269623,0.20120145804876,-9.94854359541677,2.55900728593681e-23,9.31438667592156e-21
"226781",312.45920543806,-2.89583060954897,0.337406313388329,-9.88463444612301,4.85349953592536e-23,1.73941956445202e-20
"433926",559.499610537021,2.13403934767636,0.225631678130024,9.63951804633804,5.44429809966319e-22,1.92158976108567e-19
"20558",1064.55494363557,-2.19813407028643,0.235036981741332,-9.57488769621142,1.01968064553335e-21,3.54529263249244e-19
"17068",263.376406470763,-2.55056579089352,0.277894021244332,-9.55549710172347,1.22992032049832e-21,4.21338145088359e-19
"20568",439.313048705749,-2.43659193194628,0.263999197991417,-9.54744118716574,1.32939117863983e-21,4.48814021832098e-19
"238725",198.247360483147,2.80930420276814,0.310146620400209,9.52875526203078,1.59180321931486e-21,5.29729371341995e-19
"19141",1432.24895006827,1.75408397934065,0.186460255649274,9.47912930975153,2.56413603830507e-21,8.3411036711231e-19
"666532",673.665587125378,2.48352257527205,0.288523575839845,9.47856406637859,2.5780616626781e-21,8.3411036711231e-19
"268885",542.435711316601,2.40087145796967,0.257348120317542,9.46661623780913,2.89055737823116e-21,9.22404577067053e-19
"74145",348.647334590403,-2.75098339399369,0.313208174863372,-9.443651462044,3.60010016348568e-21,1.13330180146485e-18
"330409",1365.32110216245,-1.81050575452723,0.196545607541494,-9.42076473905596,4.47814426762166e-21,1.39091160952329e-18
"193740",213.381800740391,2.71375326904567,0.306950113013616,9.40624975164464,5.14155015335433e-21,1.5759527739788e-18
"109108",2262.30589637814,-1.94207016295089,0.210850023889923,-9.3750246154325,6.9159630221561e-21,2.09230335845619e-18
"12346",5698.83466817993,-1.90927876970377,0.20614870688082,-9.32851732939079,1.07362202334933e-20,3.20641346588751e-18
"319160",8808.44222548102,-1.79590162025393,0.194250273044923,-9.31855766747665,1.1793249960777e-20,3.47751592197848e-18
"20741",27837.9994660457,-1.47882922158923,0.162821582210218,-9.27472975320357,1.78069877674407e-20,5.18517225053163e-18
"20364",2043.78347889187,1.52901807025627,0.167803155395875,9.25191646551387,2.20503008463489e-20,6.34150318784812e-18
"18563",788.148232235844,-1.88203646835349,0.209491293776292,-9.21741505051333,3.0434854365121e-20,8.64609673701822e-18
"17190",2940.29314715567,1.45942944260732,0.160316318355213,9.20473503356188,3.42515213268436e-20,9.61312276275688e-18
"12700",924.211714771553,2.22129164147654,0.250667345564678,9.20286990180384,3.48514732356113e-20,9.66506034551865e-18
"53417",379.985871982621,2.37586273434506,0.277549511939288,9.19632749952705,3.70392498069078e-20,1.01509332264931e-17
"94346",454.499288679686,2.10147972931763,0.236445168922577,9.14281327842806,6.08483945396918e-20,1.64821319860712e-17
"751530",1318.24989171963,-1.9304395219579,0.213572336338109,-9.11046782150102,8.2027492990828e-20,2.19635683818545e-17
"233080",152.235159521768,2.79701694401829,0.338365504909795,9.07265381243894,1.16152855265684e-19,3.07475086751602e-17
"72269",187.606157389887,3.00699914276908,0.315722038936637,8.94072509288492,3.8662507919967e-19,1.01195856404003e-16
"626615",915.298350297075,2.21423596129176,0.258503006577884,8.93022358778241,4.25148651716649e-19,1.10042642685993e-16
"17748",1942.00491615539,1.7231249012053,0.197925589050128,8.92491924745462,4.46024487151775e-19,1.14177367342864e-16
"15078",5114.96871840054,-2.20661380263433,0.249212494722269,-8.87510591103682,6.98668959867849e-19,1.76907537175234e-16
"52906",379.645183320186,-2.21016099856666,0.253167120312243,-8.86766915800693,7.46928585736936e-19,1.87093563491849e-16
"12575",581.6258820995,2.18461378931727,0.263738433037558,8.80103735667666,1.35557213875169e-18,3.35936733747028e-16
"212442",474.772111660813,2.1600308229844,0.261139669615759,8.72017305473272,2.77776909303094e-18,6.8113822128585e-16
"170772",321.70513074869,-2.22164725360423,0.262696689935001,-8.71682124143844,2.86121350253158e-18,6.94291338973678e-16
"12395",422.537022167504,-2.46145759067282,0.314764747384285,-8.66468727853069,4.52754046599449e-18,1.08730984696228e-15
"12332",301.45401587992,-2.1159177699492,0.247106981791266,-8.63394625858365,5.9270854606089e-18,1.40889240617229e-15
"622568",4.11485607261304,-0.199385297213381,0.212311969894729,-8.52549212406973,1.52161493815884e-17,3.58040605903133e-15
"226251",427.587203112792,-2.05906506216531,0.24753603946164,-8.51578532793015,1.65465102686801e-17,3.85450956708904e-15
"66151",3394.92545454948,1.57667512143703,0.187069747729493,8.50578579889937,1.80369708336931e-17,4.16011124327605e-15
"104444",4572.03896131394,1.34989248832143,0.161852076476412,8.50184973947198,1.86593242395344e-17,4.2614603741172e-15
"20861",428.021260511021,2.31361264846773,0.322436368594198,8.47790004092031,2.29294832108637e-17,5.18584768346671e-15
"16364",303.198134805611,-2.19730607899904,0.268069812835006,-8.46213322867909,2.62530349330607e-17,5.8804273919774e-15
"16145",1423.27440897554,1.5031872154225,0.179756173610624,8.44684384225847,2.99283619265107e-17,6.63982086741017e-15
"234988",9.16357363332896,0.501081376032178,0.25798104073097,8.39560383962886,4.6350595912652e-17,1.01861993564644e-14
"15170",835.243423249298,-1.75084448319186,0.210543188611618,-8.36016528386977,6.26304480596279e-17,1.36352924070003e-14
"66970",1892.20122234674,1.44133073711216,0.17400515999259,8.34732594888704,6.98258201174673e-17,1.50610414781148e-14
"12655",4602.697336923,-1.51462225824796,0.185434482406422,-8.31391773136643,9.25933524496185e-17,1.97886435349896e-14
"21848",3245.36011041395,1.644491704303,0.20314314070929,8.30157073938076,1.02743846566406e-16,2.17583445978585e-14
"13591",422.056116156685,-2.33181230388575,0.306567978812256,-8.28317510561985,1.19933872089987e-16,2.51699058588852e-14
"217151",269.695206478832,-2.44033446845058,0.326008217377345,-8.15859699352593,3.38938482197802e-16,7.04961780606947e-14
"20963",822.827182606668,-1.70727110195496,0.213551110107899,-8.09613815915468,5.67313894961273e-16,1.16952010470114e-13
"12014",380.349747416592,-2.12295983027169,0.270644716043503,-8.04691512839794,8.49070193254957e-16,1.73500790805914e-13
"12721",1227.2288937531,-1.46512960321388,0.183586962586324,-8.02809793856103,9.89954406252035e-16,2.00530329509923e-13
"74754",1035.62000248686,1.52057567971756,0.194200870459695,8.01734473749312,1.0805553797777e-15,2.16996013551047e-13
"319168",2575.11346883467,-2.02771325817655,0.255450789801301,-7.99357448590641,1.31081624776197e-15,2.60986875996711e-13
"12799",666.035380875235,-1.90983287624069,0.240182623544425,-7.98359308742089,1.42134034204725e-15,2.75917693899923e-13
"18003",540.998109180172,-1.68708907953224,0.21366823938195,-7.98450921866602,1.41082479129633e-15,2.75917693899923e-13
"54445",815.067432949972,-1.78923168241807,0.228603336115135,-7.98429110643399,1.41332135849049e-15,2.75917693899923e-13
"67878",1093.09504161409,-1.65287726630335,0.21089285346724,-7.9716850659774,1.56525273810655e-15,3.01343492018117e-13
"671564",151.414204563729,-2.33051138254598,0.3409819774404,-7.9326308580461,2.14551451833087e-15,4.09670169709161e-13
"21810",645.133917217936,-1.63655357716441,0.21151521687694,-7.90594930835053,2.65899372681568e-15,5.03587470456678e-13
"23833",1451.26445669415,-1.45583777217046,0.187693824427582,-7.90026502412022,2.78311034050837e-15,5.22843188565665e-13
"20198",222.951894817674,-2.10213104018472,0.277234300501681,-7.85897887249281,3.87277545074173e-15,7.21730433000229e-13
"12482",147.690319555809,-2.46022531902534,0.334961115046323,-7.83401007739078,4.72550881920781e-15,8.73656570979729e-13
"29811",1091.65173319135,2.00961777679023,0.268749601501962,7.8200880971436,5.27863815927596e-15,9.68235243467193e-13
"106878",830.463046614065,1.67934783952259,0.220974135118598,7.79250135634563,6.56954655298583e-15,1.19560614806098e-12
"11931",229.637878632909,-2.40273991104246,0.320503617902858,-7.76495816982163,8.16721740106879e-15,1.47484751440231e-12
"329324",404.162919328871,-1.87487788465135,0.25701411828239,-7.7376525084831,1.01269172982877e-14,1.81466568048933e-12
"330189",701.134735138031,-1.83791604382881,0.245617179243014,-7.7260980292951,1.10893244455096e-14,1.97195277067287e-12
"72552",559.603534305278,-1.62579063231232,0.212531172527602,-7.71059615093184,1.25231362107688e-14,2.21004892446863e-12
"545030",709.225240801389,-1.49415170264472,0.197721900085655,-7.68891211871431,1.48391341542578e-14,2.59907992574011e-12
"13043",952.321337370745,1.58483437899738,0.213036008148291,7.66062135596816,1.85035649120015e-14,3.21672048227667e-12
"14723",777.644225458804,1.83702558544944,0.253980286772115,7.65721115848482,1.90014075635592e-14,3.2787984384675e-12
"381126",389.35685280926,-1.81351191560654,0.246190652451096,-7.64970509992162,2.01440742791421e-14,3.44012667248679e-12
"243958",377.293304629521,-2.18249722167774,0.296914927939009,-7.6491469343979,2.02316958201627e-14,3.44012667248679e-12
"56744",261.986385214773,2.03597091409295,0.27927573418346,7.62441762639104,2.4513854134334e-14,4.13804515985007e-12
"69169",384.600808036963,-2.06078785758167,0.284902291867433,-7.60441326551161,2.86199334490649e-14,4.79641258774078e-12
"16149",2218.50731648572,-1.42128583737957,0.191371227988562,-7.60005110280683,2.9601383329038e-14,4.92545874749957e-12
"22059",3429.09883915567,1.3350674122091,0.176938263573954,7.59014042685462,3.19558976118951e-14,5.27952223311415e-12
"67246",10201.0420709294,1.66023404145388,0.228934773829871,7.55487342038969,4.19267399511905e-14,6.87805216311959e-12
"433278",2.09198125036579,-0.118597550672929,0.170749832357393,-7.54411606339856,4.55365465611379e-14,7.36648508431741e-12
"66626",647.680057254541,1.56226938853045,0.210587338449347,7.54422753949192,4.54976161444134e-14,7.36648508431741e-12
"258835",1.68818993238603,-0.117283941514984,0.169946783210856,-7.53855023160417,4.7522492812139e-14,7.63473427626744e-12
"638634",5.25649054355073,-0.316179306563472,0.252880351807699,-7.52115479920947,5.42945176890852e-14,8.66295061347424e-12
"104759",352.896878597293,-1.87724027302301,0.258965070552234,-7.49859380313587,6.45060829360458e-14,1.0222239469355e-11
"17451",9.79650678196105,0.446702368144432,0.279062499505304,7.46845764709851,8.11402226814118e-14,1.27713614011047e-11
"50708",17964.7372575486,-1.20734551806191,0.163754331879928,-7.44422514128085,9.7515073333691e-14,1.52457290826063e-11
"12017",8148.56054251919,1.3856362393393,0.191398410466714,7.40590159367893,1.30262404294617e-13,2.01009043007948e-11
"78252",11238.0764175086,-1.20342302260921,0.184771358442387,-7.40586775981052,1.30295623499464e-13,2.01009043007948e-11
"320376",1056.59523624168,-1.38642368633478,0.191822220731744,-7.40436270485892,1.31781787720899e-13,2.01964259536733e-11
"12288",193.275801485829,2.1598503573425,0.309084746733313,7.40052807489762,1.35643987021684e-13,2.06524619455564e-11
"70861",6.79921179814866,0.369013690015986,0.250999769961314,7.39008962641883,1.46729875242235e-13,2.21952756088822e-11
"83436",501.101744731205,-1.71792620877278,0.237593090006151,-7.3869201404827,1.50268787461903e-13,2.25839445414517e-11
"17444",1175.54270066121,-1.45692277537931,0.203147868463097,-7.38361666800776,1.54046556327105e-13,2.30032982669225e-11
"12291",537.268194450166,-1.7002176989237,0.244597144814905,-7.38240977491678,1.55449875489181e-13,2.30649990415317e-11
"23882",1216.68333068833,1.6778289908709,0.236093889828124,7.3787594834756,1.59771155805522e-13,2.35561333828458e-11
"68891",3068.12389670296,-1.23281410412071,0.170104966107367,-7.3322443083449,2.26330011926584e-13,3.31594819360364e-11
"51788",1717.76460576693,-1.601299553878,0.213620371758878,-7.32040556211451,2.47222643871447e-13,3.59940718061585e-11
"13010",484.559061065729,-1.78726629419063,0.241916688401419,-7.31789402434755,2.51892657331041e-13,3.64462077796684e-11
"433070",150.960379928894,1.94212701677752,0.346593326272538,7.30701635838967,2.73139316614562e-13,3.92764221020754e-11
"320415",105.19038340885,2.14251922282108,0.355201804779032,7.29344136321976,3.0213624927439e-13,4.31795332935393e-11
"258160",5.31428850109965,0.301898810016431,0.225452963052311,7.28119332097528,3.30880118857295e-13,4.69990998096383e-11
"12273",691.255317626624,-1.50432565896057,0.212114068213026,-7.24613202524242,4.28842107829036e-13,6.05447084962266e-11
"12483",966.164101522125,1.6005837387155,0.225611770610931,7.23024888190518,4.82109680495778e-13,6.76550904045129e-11
"74153",5978.83624622111,1.13229823237479,0.156652887354546,7.21717146850204,5.30800313554059e-13,7.40418760733042e-11
"170776",1684.48751276295,1.32871039067251,0.188045307989364,7.20454820659443,5.82366173411056e-13,8.07513095810151e-11
"16534",4762.16784400456,-1.10685184701979,0.156355753695619,-7.17498459824833,7.23153266703503e-13,9.96796174429474e-11
"27260",3316.00107612541,1.37886307466714,0.19455646767214,7.1690123736162,7.5540729912053e-13,1.03513017841252e-10
"236312",367.3215338676,-1.78557110837604,0.260320391673241,-7.1573914214814,8.22266693284649e-13,1.11606844624361e-10
"100038722",5.03492477767751,-0.245032685862975,0.230120887728868,-7.15709337807732,8.24055689005797e-13,1.11606844624361e-10
"11668",3342.30048361788,-1.53830358282257,0.224679965161273,-7.15542021416941,8.34169949355793e-13,1.12323635666146e-10
"192232",306.808753811471,1.77225095391466,0.258195832769689,7.1043825731557,1.20861631983206e-12,1.6180871937062e-10
"73582",323.635819257429,1.92019364374147,0.292718539391546,7.10314176587508,1.21952192242338e-12,1.623357896163e-10
"14042",186.633447934217,-1.98354108962014,0.289916447633649,-7.06488987514217,1.60743419734989e-12,2.12756702427646e-10
"19265",552.159638236797,-1.83849365075077,0.265807578910391,-7.06343300173787,1.62438539195279e-12,2.13785636754464e-10
"215378",7.43085526704023,0.518794388599719,0.260724593278934,7.0557968014497,1.71614454798735e-12,2.24593186771715e-10
"100037278",159.898653331745,-1.99482781747918,0.309905416156465,-7.05014390739864,1.78732846363992e-12,2.32602327153586e-10
"12772",153.955683431261,-2.2006602657923,0.326011218647263,-7.03897972845966,1.93652537965203e-12,2.50618659549967e-10
"100126224",5.066514118764,0.394808767572021,0.224763943455086,7.0313945053187,2.04479441110924e-12,2.63168429871766e-10
"13035",469.707342332526,1.68093842789481,0.258627890751348,7.00901235866878,2.40006256643115e-12,3.07194821346229e-10
"102436",133897.951910498,-1.51304926352435,0.219491002228848,-6.99443769345328,2.66324905687058e-12,3.39018506993444e-10
"18630",6.73359077240171,0.543927086964033,0.258039062978812,6.99011312782532,2.74664678562761e-12,3.47734439517365e-10
"328780",241.321480018704,-1.9802252912284,0.309198612585038,-6.96315530909261,3.32734646437565e-12,4.18975869662869e-10
"12509",3759.26052024588,1.31308154678789,0.191179694493022,6.94326568829399,3.83137856957862e-12,4.79849267625452e-10
"78303",8083.70844653335,-1.15103180902769,0.170795309952976,-6.93694248233547,4.00676861604737e-12,4.99131951394778e-10
"214230",170.075691497863,1.8728583760218,0.293014478053834,6.87136402111954,6.35908902667625e-12,7.87952015300124e-10
"17060",293.223269159403,-1.94706274821966,0.29491786343799,-6.85471927679714,7.14526924330769e-12,8.80682788480702e-10
"76551",2348.03429983892,-1.22706725407963,0.182209520315466,-6.83328185979671,8.29936604166489e-12,1.01754595758202e-09
"12457",3409.21305038073,1.23225835386989,0.181937515554614,6.82566852515032,8.75167955684331e-12,1.06738416375217e-09
"66540",3251.99084594794,-1.20597623585234,0.17934795086913,-6.82128062742052,9.02324791884039e-12,1.09477375140306e-09
"110787",234.141924476859,-1.9172689355373,0.29645400229494,-6.80396990302773,1.01774810098504e-11,1.22841668458272e-09
"16985",1322.88446826634,-1.2735129322636,0.190197409694231,-6.79702493469042,1.06801618914812e-11,1.282445212691e-09
"224023",358.404592061133,1.59675809974552,0.253368946284726,6.71208541047267,1.91862328164536e-11,2.2920168895348e-09
"66599",184.975679553299,-1.96374350224704,0.314899949982954,-6.70694181407788,1.98745462813162e-11,2.35185291290168e-09
"100038714",5.73078362978524,0.319864213640496,0.243655258031141,6.7068354427969,1.98890330045774e-11,2.35185291290168e-09
"214575",81.9682343117928,1.95556107415067,0.354987689881613,6.70029339240607,2.08001495277668e-11,2.44716910731984e-09
"224703",7021.58460838876,-1.05870440685736,0.159883569209779,-6.68793733049933,2.26338017240786e-11,2.64951965408246e-09
"100504714",480.285355926134,-1.81297510957235,0.291404259528974,-6.67481079113451,2.47551337244801e-11,2.88335420055882e-09
"258662",5.30291125787569,0.33140764776932,0.233379637156662,6.67373880148486,2.49367282332109e-11,2.89005514523705e-09
"319178",82345.5505663987,-1.14529998823488,0.173697040952653,-6.64806019774491,2.96980851879471e-11,3.42483611115459e-09
"12493",891.370627297064,-1.26567937010268,0.191725889042675,-6.62792572196956,3.40436687416263e-11,3.90663676520287e-09
"14659",198.775593542762,1.88043898570969,0.294298825739999,6.62070535659266,3.57488902292527e-11,4.08220783279629e-09
"14735",107.752240503943,-2.02490537367991,0.347344966111199,-6.60414386967471,3.99821105278908e-11,4.54333299876691e-09
"211586",19891.339249149,-1.14369297975326,0.177917479091073,-6.60267606266184,4.0380126229656e-11,4.56628660446522e-09
"11433",3060.12691134555,-1.04154830510143,0.160930221029872,-6.59691618285169,4.19797932407163e-11,4.72424774658206e-09
"12398",3420.95194803369,1.42501005477708,0.223633711886492,6.58619544217873,4.51239759588381e-11,5.05366836519776e-09
"74645",49124.779126913,-0.933610825871214,0.144467897199927,-6.58381823035247,4.58517644854655e-11,5.11060695544938e-09
"226982",7570.87808969995,0.980154853423464,0.150848786111704,6.57165387713373,4.97594258311559e-11,5.51974202255608e-09
"18807",2763.37542056419,1.17264131231968,0.178415481960304,6.56540156565527,5.18928241193386e-11,5.72911534530803e-09
"170755",1259.67915627904,-1.59864793711707,0.254316324417139,-6.55488413428454,5.56850954036573e-11,6.11879385579338e-09
"433688",281.787254489778,-1.7928273755863,0.269832906608877,-6.55132932833944,5.70271384680255e-11,6.23684127048194e-09
